time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
405286.650638	48.557121	0.035935	1.351249	246
405287.734003	48.671833	0.035938	1.354325	247
405288.750715	54.205540	0.035935	1.508426	248
405289.829067	43.280941	0.035937	1.204352	249
405291.893552	46.308033	0.035934	1.288704	251
405292.947925	46.601467	0.035936	1.296791	252
405293.958182	55.204617	0.035935	1.536246	253
405295.040821	42.192963	0.035936	1.174128	254
405296.056363	55.887577	0.035937	1.555151	255
405297.131960	38.224712	0.035935	1.063725	0
405298.161576	56.512115	0.035935	1.572621	1
405299.208330	39.155495	0.035937	1.089556	2
405300.247125	52.654945	0.035938	1.465155	3
405301.262504	53.032608	0.035934	1.475832	4
405302.348447	46.570599	0.035937	1.295878	5
405303.325490	59.610210	0.035936	1.658785	6
405304.441464	49.518600	0.035938	1.377874	7
405305.428751	57.679493	0.035935	1.605106	8
405306.510016	48.268005	0.035938	1.343101	9
405307.524449	57.124104	0.035934	1.589701	10
405308.615263	46.252834	0.035935	1.287115	11
405309.627118	56.915359	0.035939	1.583676	12
405310.675754	47.652489	0.035936	1.326055	13
405311.719420	54.027805	0.035936	1.503460	14
405312.768745	51.324215	0.035936	1.428197	15
405313.823676	48.069157	0.035935	1.337654	16
405314.833167	55.808064	0.035939	1.552862	17
405315.881430	58.578621	0.035937	1.630049	18
405316.908508	56.675743	0.035936	1.577147	19
405317.979407	56.982067	0.035934	1.585724	20
405319.027220	49.354328	0.035934	1.373479	21
405320.042786	60.947422	0.035934	1.696091	22
405321.180070	34.631027	0.035937	0.963659	23
405322.147550	61.631439	0.035937	1.715005	24
405323.221676	40.221348	0.035933	1.119341	25
405324.234274	52.396626	0.035934	1.458129	26
405325.287070	53.649731	0.035934	1.493007	27
405326.301242	57.392097	0.035936	1.597085	28
405327.451309	34.423500	0.035938	0.957868	29
405328.403291	52.866028	0.035935	1.471148	30
405329.479840	51.979111	0.035936	1.446416	31
405330.463163	59.487419	0.035933	1.655488	32
405331.544849	59.976685	0.035937	1.668962	33
